Indicator 58 Monthly total of fuel used by vehicles at Australian Antarctic Stations,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
Jan-03,-67.60269444,62.87380556,Mawson,Fuel usage,5048,,litres
Jan-03,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres
Jan-03,-66.28180556,110.5276111,Casey,Fuel usage,22895,,litres
Jan-03,-54.61988889,158.861,Macquarie Island,Fuel usage,187,,litres
Feb-03,-67.60269444,62.87380556,Mawson,Fuel usage,2800,,litres
Feb-03,-68.57661111,77.96738889,Davis,Fuel usage,1200,,litres
Feb-03,-66.28180556,110.5276111,Casey,Fuel usage,8150,,litres
Feb-03,-54.61988889,158.861,Macquarie Island,Fuel usage,176,,litres
Mar-03,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres
Mar-03,-68.57661111,77.96738889,Davis,Fuel usage,300,,litres
Mar-03,-66.28180556,110.5276111,Casey,Fuel usage,3660,,litres
Mar-03,-54.61988889,158.861,Macquarie Island,Fuel usage,5,,litres
Apr-03,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Apr-03,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres
Apr-03,-66.28180556,110.5276111,Casey,Fuel usage,2535,,litres
Apr-03,-54.61988889,158.861,Macquarie Island,Fuel usage,105,,litres
May-03,-67.60269444,62.87380556,Mawson,Fuel usage,2100,,litres
May-03,-68.57661111,77.96738889,Davis,Fuel usage,400,,litres
May-03,-66.28180556,110.5276111,Casey,Fuel usage,1310,,litres
May-03,-54.61988889,158.861,Macquarie Island,Fuel usage,150,,litres
Jun-03,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Jun-03,-68.57661111,77.96738889,Davis,Fuel usage,200,,litres
Jun-03,-66.28180556,110.5276111,Casey,Fuel usage,744,,litres
Jun-03,-54.61988889,158.861,Macquarie Island,Fuel usage,153,,litres
Jul-03,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres
Jul-03,-68.57661111,77.96738889,Davis,Fuel usage,1200,,litres
Jul-03,-66.28180556,110.5276111,Casey,Fuel usage,2493,,litres
Jul-03,-54.61988889,158.861,Macquarie Island,Fuel usage,856,,litres
Aug-03,-67.60269444,62.87380556,Mawson,Fuel usage,1900,,litres
Aug-03,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres
Aug-03,-66.28180556,110.5276111,Casey,Fuel usage,1540,,litres
Aug-03,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres
Sep-03,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres
