Date,Parameter,Value,Unit of measure
Aug-08,Fuel usage,64397.0,litres
Aug-08,Fuel usage,49043.0,litres
Aug-08,Fuel usage,15330.0,litres
Sep-08,Fuel usage,36741.0,litres
Sep-08,Fuel usage,58780.0,litres
Sep-08,Fuel usage,47145.0,litres
Sep-08,Fuel usage,14771.0,litres
Oct-08,Fuel usage,31446.0,litres
Oct-08,Fuel usage,51666.0,litres
Oct-08,Fuel usage,47220.0,litres
Oct-08,Fuel usage,15043.0,litres
Nov-08,Fuel usage,25243.0,litres
Nov-08,Fuel usage,43329.0,litres
Nov-08,Fuel usage,38475.0,litres
Nov-08,Fuel usage,15141.0,litres
Dec-08,Fuel usage,33015.0,litres
Dec-08,Fuel usage,40125.0,litres
Dec-08,Fuel usage,40843.0,litres
Dec-08,Fuel usage,14095.0,litres
Jan-09,Fuel usage,29292.0,litres
Jan-09,Fuel usage,42453.0,litres
Jan-09,Fuel usage,42649.0,litres
Jan-09,Fuel usage,14663.0,litres
Feb-09,Fuel usage,22152.0,litres
Feb-09,Fuel usage,46503.0,litres
Feb-09,Fuel usage,36219.0,litres
Feb-09,Fuel usage,14304.0,litres
Mar-09,Fuel usage,20817.0,litres
Mar-09,Fuel usage,47638.0,litres
Mar-09,Fuel usage,40266.0,litres
Mar-09,Fuel usage,15493.0,litres
Apr-09,Fuel usage,28998.0,litres
Apr-09,Fuel usage,49946.0,litres
Apr-09,Fuel usage,45644.0,litres
Apr-09,Fuel usage,13439.0,litres
May-09,Fuel usage,33356.0,litres
May-09,Fuel usage,53683.0,litres
May-09,Fuel usage,46370.0,litres
May-09,Fuel usage,14109.0,litres
Jun-09,Fuel usage,34514.0,litres
Jun-09,Fuel usage,52028.0,litres
Jun-09,Fuel usage,46442.0,litres
Jun-09,Fuel usage,15079.0,litres
Jul-09,Fuel usage,32417.0,litres
Jul-09,Fuel usage,54749.0,litres
Jul-09,Fuel usage,46183.0,litres
Jul-09,Fuel usage,14839.0,litres
Aug-09,Fuel usage,37963.0,litres
Aug-09,Fuel usage,59598.0,litres
Aug-09,Fuel usage,48409.0,litres
Aug-09,Fuel usage,14234.0,litres
Sep-09,Fuel usage,30912.0,litres
Sep-09,Fuel usage,50241.0,litres
Sep-09,Fuel usage,43584.0,litres
Sep-09,Fuel usage,13464.0,litres
Oct-09,Fuel usage,29516.0,litres
Oct-09,Fuel usage,50129.0,litres
Oct-09,Fuel usage,42839.0,litres
Oct-09,Fuel usage,15096.0,litres
Nov-09,Fuel usage,24547.0,litres
Nov-09,Fuel usage,41772.0,litres
Nov-09,Fuel usage,40038.0,litres
Nov-09,Fuel usage,14459.0,litres
Dec-09,Fuel usage,56042.0,litres
Dec-09,Fuel usage,42400.0,litres
Dec-09,Fuel usage,37847.0,litres
Dec-09,Fuel usage,13727.0,litres
Jan-10,Fuel usage,28132.0,litres
Jan-10,Fuel usage,49271.0,litres
Jan-10,Fuel usage,39469.0,litres
Jan-10,Fuel usage,13419.0,litres
Feb-10,Fuel usage,21105.0,litres
Feb-10,Fuel usage,43648.0,litres
Feb-10,Fuel usage,43921.0,litres
Feb-10,Fuel usage,11949.0,litres
Mar-10,Fuel usage,20834.0,litres
Mar-10,Fuel usage,52651.0,litres
Mar-10,Fuel usage,42075.0,litres
Mar-10,Fuel usage,13918.0,litres
Apr-10,Fuel usage,27516.0,litres
Apr-10,Fuel usage,57853.0,litres
Apr-10,Fuel usage,45962.0,litres
Apr-10,Fuel usage,14088.0,litres
May-10,Fuel usage,26591.0,litres
May-10,Fuel usage,58854.0,litres
May-10,Fuel usage,50355.0,litres
May-10,Fuel usage,14072.0,litres
Jun-10,Fuel usage,30479.0,litres
Jun-10,Fuel usage,64238.0,litres
Jun-10,Fuel usage,51142.0,litres
Jun-10,Fuel usage,14926.0,litres
Jul-10,Fuel usage,36020.0,litres
Jul-10,Fuel usage,65191.0,litres
Jul-10,Fuel usage,54869.0,litres
Jul-10,Fuel usage,16737.0,litres
Aug-10,Fuel usage,35144.0,litres
Aug-10,Fuel usage,64386.0,litres
Aug-10,Fuel usage,56982.0,litres
Aug-10,Fuel usage,15830.0,litres
Sep-10,Fuel usage,32352.0,litres
Sep-10,Fuel usage,53823.0,litres
Sep-10,Fuel usage,56095.0,litres
Sep-10,Fuel usage,15094.0,litres
Oct-10,Fuel usage,30210.0,litres
Oct-10,Fuel usage,56912.0,litres
Oct-10,Fuel usage,55545.0,litres
Oct-10,Fuel usage,15226.0,litres
Nov-10,Fuel usage,31100.0,litres
Nov-10,Fuel usage,55000.0,litres
Nov-10,Fuel usage,46333.0,litres
Nov-10,Fuel usage,15183.0,litres
Dec-10,Fuel usage,22550.0,litres
Dec-10,Fuel usage,46270.0,litres
Dec-10,Fuel usage,42649.0,litres
Dec-10,Fuel usage,15459.0,litres
Jan-11,Fuel usage,22539.0,litres
Jan-11,Fuel usage,60670.0,litres
Jan-11,Fuel usage,40463.0,litres
Jan-11,Fuel usage,15197.0,litres
Feb-11,Fuel usage,22294.0,litres
Feb-11,Fuel usage,57348.0,litres
Feb-11,Fuel usage,38424.0,litres
Feb-11,Fuel usage,14118.0,litres
Mar-11,Fuel usage,24345.0,litres
Mar-11,Fuel usage,62658.0,litres
Mar-11,Fuel usage,46016.0,litres
Mar-11,Fuel usage,16639.0,litres
Apr-11,Fuel usage,36200.0,litres
Apr-11,Fuel usage,65424.0,litres
Apr-11,Fuel usage,44259.0,litres
Apr-11,Fuel usage,17648.0,litres
May-11,Fuel usage,39400.0,litres
May-11,Fuel usage,66575.0,litres
May-11,Fuel usage,51428.0,litres
May-11,Fuel usage,17064.0,litres
Jun-11,Fuel usage,32236.0,litres
Jun-11,Fuel usage,71548.0,litres
Jun-11,Fuel usage,52261.0,litres
Jun-11,Fuel usage,17306.0,litres
Jul-11,Fuel usage,38027.0,litres
Jul-11,Fuel usage,62344.0,litres
Jul-11,Fuel usage,54146.0,litres
Jul-11,Fuel usage,17331.0,litres
Aug-11,Fuel usage,27433.0,litres
Aug-11,Fuel usage,64447.0,litres
Aug-11,Fuel usage,12362.0,litres
Aug-11,Fuel usage,18956.0,litres
Sep-11,Fuel usage,34588.0,litres
Sep-11,Fuel usage,63582.0,litres
Sep-11,Fuel usage,49625.0,litres
Sep-11,Fuel usage,17406.0,litres
Oct-11,Fuel usage,40321.0,litres
Oct-11,Fuel usage,63582.0,litres
Oct-11,Fuel usage,48829.0,litres
Oct-11,Fuel usage,17312.0,litres
Nov-11,Fuel usage,27234.0,litres
Nov-11,Fuel usage,50759.0,litres
Nov-11,Fuel usage,42996.0,litres
Nov-11,Fuel usage,16226.0,litres
Dec-11,Fuel usage,32178.0,litres
Dec-11,Fuel usage,51301.0,litres
Dec-11,Fuel usage,40330.0,litres
Dec-11,Fuel usage,16997.0,litres
Jan-12,Fuel usage,24564.0,litres
Jan-12,Fuel usage,49807.0,litres
Jan-12,Fuel usage,36406.0,litres
Jan-12,Fuel usage,16866.0,litres
Feb-12,Fuel usage,20500.0,litres
Feb-12,Fuel usage,48072.0,litres
Feb-12,Fuel usage,42100.0,litres
Feb-12,Fuel usage,15996.0,litres
Mar-12,Fuel usage,26511.0,litres
Mar-12,Fuel usage,55880.0,litres
Mar-12,Fuel usage,54486.0,litres
Mar-12,Fuel usage,17649.0,litres
Apr-12,Fuel usage,36085.0,litres
Apr-12,Fuel usage,55182.0,litres
Apr-12,Fuel usage,49576.0,litres
Apr-12,Fuel usage,16570.0,litres
May-12,Fuel usage,41728.0,litres
May-12,Fuel usage,62969.0,litres
May-12,Fuel usage,57359.0,litres
May-12,Fuel usage,18526.0,litres
Jun-12,Fuel usage,46463.0,litres
Jun-12,Fuel usage,58339.0,litres
Jun-12,Fuel usage,57858.0,litres
Jun-12,Fuel usage,19821.0,litres
Jul-12,Fuel usage,44269.0,litres
Jul-12,Fuel usage,64509.0,litres
