??,??,??,??,??????,????????,????
16-03-2019 18.00,379,-5.245,0.002,0,0,0
16-03-2019 19.00,380,-5.805,0.002,0,0,0
16-03-2019 20.00,381,-6.63,0.002,0,0,0
16-03-2019 21.00,382,-7.592,0.002,0,0,0
16-03-2019 22.00,383,-8.28,0.002,0,0,0
16-03-2019 23.00,384,-8.576,0.002,0,0,0
17-03-2019 0.00,385,-8.419,0.002,0,0,0
17-03-2019 1.00,386,-8.589,0.002,0,0,0
17-03-2019 2.00,387,-8.836,0.002,0,0,0
17-03-2019 3.00,388,-9.083,0.002,0,0,0
17-03-2019 4.00,389,-9.594,0.002,0,0,0
17-03-2019 5.00,390,-10.01,0.002,8.669,24.014,172.297
17-03-2019 6.00,391,-7.423,0.002,113.536,212.765,2401.731
17-03-2019 7.00,392,-4.328,0.002,280.723,434.126,3519.717
17-03-2019 8.00,393,-0.748,0.002,440.438,623.74,3993.322
17-03-2019 9.00,394,1.674,0.002,565.009,768.691,4204.283
17-03-2019 10.00,395,2.973,0.002,637.459,859.145,4053.897
17-03-2019 11.00,396,3.824,0.002,657.449,888.937,3710.23
17-03-2019 12.00,397,4.535,0.002,629.751,856.082,3851.197
17-03-2019 13.00,398,4.854,0.002,547.68,762.813,3648.947
17-03-2019 14.00,399,4.825,0.003,420.724,615.527,3557.799
17-03-2019 15.00,400,4.194,0.003,265.106,424.295,2854.426
17-03-2019 16.00,401,2.52,0.003,107.719,202.156,1492.339
17-03-2019 17.00,402,0.364,0.003,7.355,19.485,24.2
17-03-2019 18.00,403,-0.375,0.003,0,0,0
17-03-2019 19.00,404,-0.97,0.003,0,0,0
17-03-2019 20.00,405,-1.304,0.003,0,0,0
17-03-2019 21.00,406,-1.573,0.003,0,0,0
17-03-2019 22.00,407,-2.124,0.003,0,0,0
17-03-2019 23.00,408,-1.976,0.003,0,0,0
18-03-2019 0.00,409,-1.521,0.003,0,0,0
18-03-2019 1.00,410,-1.355,0.003,0,0,0
18-03-2019 2.00,411,-1.855,0.003,0,0,0
18-03-2019 3.00,412,-2.844,0.003,0,0,0
18-03-2019 4.00,413,-3.576,0.003,0,0,0
18-03-2019 5.00,414,-3.875,0.003,8.247,26.814,72.699
18-03-2019 6.00,415,-2.602,0.003,106.736,219.698,1177.608
18-03-2019 7.00,416,-0.323,0.003,272.387,440.974,3012.288
18-03-2019 8.00,417,2.46,0.003,435.238,630.517,3761.302
18-03-2019 9.00,418,5.056,0.003,571.324,775.417,4035.134
18-03-2019 10.00,419,7.191,0.003,660.225,865.832,4121.175
18-03-2019 11.00,420,8.631,0.003,691.824,895.62,3994.714
18-03-2019 12.00,421,9.245,0.003,662.963,862.769,3952.362
18-03-2019 13.00,422,9.303,0.003,576.968,769.543,3749.822
18-03-2019 14.00,423,8.834,0.003,438.053,622.312,3224.367
18-03-2019 15.00,424,7.462,0.003,274.366,431.139,2484.18
18-03-2019 16.00,425,3.211,0.003,108.462,209.074,1205.517
18-03-2019 17.00,426,-0.562,0.003,7.779,22.11,22.989
18-03-2019 18.00,427,-1.15,0.003,0,0,0
18-03-2019 19.00,428,-1.853,0.003,0,0,0
18-03-2019 20.00,429,-2.867,0.003,0,0,0
18-03-2019 21.00,430,-3.519,0.003,0,0,0
18-03-2019 22.00,431,-3.827,0.003,0,0,0
18-03-2019 23.00,432,-3.938,0.002,0,0,0
19-03-2019 0.00,433,-3.846,0.002,0,0,0
19-03-2019 1.00,434,-3.661,0.002,0,0,0
19-03-2019 2.00,435,-3.445,0.003,0,0,0
19-03-2019 3.00,436,-3.038,0.003,0,0,0
19-03-2019 4.00,437,-2.775,0.003,0,0,0
19-03-2019 5.00,438,-2.683,0.003,9.291,29.814,50.636
19-03-2019 6.00,439,-1.656,0.003,85.039,226.615,871.213
19-03-2019 7.00,440,0.461,0.003,204.482,447.799,2902.022
19-03-2019 8.00,441,2.727,0.003,328.513,637.268,3391.809
19-03-2019 9.00,442,4.54,0.003,435.664,782.106,3397.18
19-03-2019 10.00,443,5.622,0.003,506.279,872.474,2463.052
19-03-2019 11.00,444,6.496,0.003,524.006,902.247,2197.381
19-03-2019 12.00,445,8.148,0.003,492.716,869.41,3010.802
