??,??,????,??,????
18-06-2019 15.00,424,1.158,4.558,466.969
18-06-2019 16.00,425,1.162,4.64,499.054
18-06-2019 17.00,426,1.165,4.538,463.181
18-06-2019 18.00,427,1.168,4.366,404.774
18-06-2019 19.00,428,1.171,4.358,400.472
18-06-2019 20.00,429,1.173,4.765,541.158
18-06-2019 21.00,430,1.171,5.678,937.716
18-06-2019 22.00,431,1.166,7.086,1761.986
18-06-2019 23.00,432,1.158,8.284,2578.959
19-06-2019 0.00,433,1.152,8.884,2976.302
19-06-2019 1.00,434,1.147,9.201,3177.81
19-06-2019 2.00,435,1.142,8.805,2928.058
19-06-2019 3.00,436,1.139,8.489,2720.672
19-06-2019 4.00,437,1.137,6.949,1670.931
19-06-2019 5.00,438,1.135,4.828,565.004
19-06-2019 6.00,439,1.135,4.492,444.528
19-06-2019 7.00,440,1.136,4.781,550.496
19-06-2019 8.00,441,1.138,5.844,1021.767
19-06-2019 9.00,442,1.142,6.584,1444.444
19-06-2019 10.00,443,1.146,7.111,1776.423
19-06-2019 11.00,444,1.151,6.637,1473.729
19-06-2019 12.00,445,1.157,5.465,837.145
19-06-2019 13.00,446,1.162,4.318,387.92
19-06-2019 14.00,447,1.166,3.705,221.609
19-06-2019 15.00,448,1.17,4.519,453.46
19-06-2019 16.00,449,1.173,5.784,995.705
19-06-2019 17.00,450,1.176,6.269,1254.971
19-06-2019 18.00,451,1.179,7.458,2008.111
19-06-2019 19.00,452,1.182,8.385,2644.095
19-06-2019 20.00,453,1.184,8.044,2413.014
19-06-2019 21.00,454,1.183,7.1,1774.548
19-06-2019 22.00,455,1.178,6.538,1412.98
19-06-2019 23.00,456,1.174,6.183,1207.375
20-06-2019 0.00,457,1.169,5.821,1010.012
20-06-2019 1.00,458,1.166,5.763,980.49
20-06-2019 2.00,459,1.162,5.837,1018.512
20-06-2019 3.00,460,1.16,5.26,741.797
20-06-2019 4.00,461,1.158,5.305,766.254
20-06-2019 5.00,462,1.157,6.061,1137.742
20-06-2019 6.00,463,1.157,6.875,1625.845
20-06-2019 7.00,464,1.157,7.355,1941.667
20-06-2019 8.00,465,1.158,7.723,2189.305
20-06-2019 9.00,466,1.159,7.799,2241.179
20-06-2019 10.00,467,1.161,7.366,1950.118
20-06-2019 11.00,468,1.164,6.826,1595.07
20-06-2019 12.00,469,1.167,6.494,1389.952
20-06-2019 13.00,470,1.17,6.634,1471.44
20-06-2019 14.00,471,1.172,6.793,1570.546
20-06-2019 15.00,472,1.174,6.884,1631.524
20-06-2019 16.00,473,1.176,6.788,1567.544
20-06-2019 17.00,474,1.178,6.447,1360.152
20-06-2019 18.00,475,1.18,6.635,1472.208
20-06-2019 19.00,476,1.182,7.453,2004.553
20-06-2019 20.00,477,1.183,7.425,1988.944
20-06-2019 21.00,478,1.182,7.162,1810.73
20-06-2019 22.00,479,1.174,6.821,1588.789
20-06-2019 23.00,480,1.167,6.487,1387.977
21-06-2019 0.00,481,1.161,6.435,1353.958
21-06-2019 1.00,482,1.156,6.496,1390.014
21-06-2019 2.00,483,1.152,6.274,1257.07
21-06-2019 3.00,484,1.149,6.125,1173.146
21-06-2019 4.00,485,1.147,4.918,599.518
21-06-2019 5.00,486,1.146,3.273,130.045
21-06-2019 6.00,487,1.145,3.816,246.38
21-06-2019 7.00,488,1.145,3.784,238.467
21-06-2019 8.00,489,1.146,3.621,202.221
21-06-2019 9.00,490,1.147,3.588,192.88
21-06-2019 10.00,491,1.148,3.434,160.337
21-06-2019 11.00,492,1.151,3.135,106.6
21-06-2019 12.00,493,1.153,2.962,82.256
21-06-2019 13.00,494,1.155,2.947,79.956
21-06-2019 14.00,495,1.158,3.1,101.188
21-06-2019 15.00,496,1.16,3.357,145.524
21-06-2019 16.00,497,1.163,3.895,268.903
21-06-2019 17.00,498,1.165,4.253,367.656
21-06-2019 18.00,499,1.167,4.64,498.755
21-06-2019 19.00,500,1.169,4.995,630.307
21-06-2019 20.00,501,1.171,5.163,699.783
21-06-2019 21.00,502,1.171,5.244,735.162
21-06-2019 22.00,503,1.165,5.287,758.001
21-06-2019 23.00,504,1.157,5.428,817.635
22-06-2019 0.00,505,1.152,5.35,782.119
22-06-2019 1.00,506,1.149,5.059,660.172
22-06-2019 2.00,507,1.146,4.655,504.194
22-06-2019 3.00,508,1.143,4.277,377.334
22-06-2019 4.00,509,1.141,4.127,332.85
22-06-2019 5.00,510,1.139,2.78,59.581
22-06-2019 6.00,511,1.138,2.096,10.917
22-06-2019 7.00,512,1.138,3.061,95.221
22-06-2019 8.00,513,1.138,3.207,119.899
22-06-2019 9.00,514,1.139,3.235,124.895
22-06-2019 10.00,515,1.14,3.137,106.916
22-06-2019 11.00,516,1.143,3.07,96.51
22-06-2019 12.00,517,1.145,3.022,89.54
22-06-2019 13.00,518,1.148,2.901,73.057
22-06-2019 14.00,519,1.15,2.762,56.639
22-06-2019 15.00,520,1.153,2.629,43.311
22-06-2019 16.00,521,1.156,2.769,57.411
22-06-2019 17.00,522,1.158,2.969,83.283
22-06-2019 18.00,523,1.161,2.772,57.867
22-06-2019 19.00,524,1.164,2.955,81.286
22-06-2019 20.00,525,1.166,3.213,121.085
22-06-2019 21.00,526,1.166,3.474,170.461
22-06-2019 22.00,527,1.16,3.279,131.073
22-06-2019 23.00,528,1.149,2.938,77.854
23-06-2019 0.00,529,1.142,2.354,22.982
23-06-2019 1.00,530,1.137,1.574,1.401
23-06-2019 2.00,531,1.134,1.018,0.034
23-06-2019 3.00,532,1.131,0.683,0
23-06-2019 4.00,533,1.129,0.522,0
