Indicator 57 Monthly incinerator fuel usage of Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Mar-03,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Mar-03,-68.57661111,77.96738889,Davis,Fuel usage,1600,,litres,,
Mar-03,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Mar-03,-54.61988889,158.861,Macquarie Island,Fuel usage,1284,,litres,,
Apr-03,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Apr-03,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres,,
Apr-03,-66.28180556,110.5276111,Casey,Fuel usage,1600,,litres,,
Apr-03,-54.61988889,158.861,Macquarie Island,Fuel usage,1779,,litres,,
May-03,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
May-03,-68.57661111,77.96738889,Davis,Fuel usage,900,,litres,,
May-03,-66.28180556,110.5276111,Casey,Fuel usage,1300,,litres,,
May-03,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Jun-03,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Jun-03,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
Jun-03,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
Jun-03,-54.61988889,158.861,Macquarie Island,Fuel usage,700,,litres,,
Jul-03,-67.60269444,62.87380556,Mawson,Fuel usage,1100,,litres,,
Jul-03,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
Jul-03,-66.28180556,110.5276111,Casey,Fuel usage,100,,litres,,
Jul-03,-54.61988889,158.861,Macquarie Island,Fuel usage,770,,litres,,
Aug-03,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Aug-03,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Aug-03,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
Aug-03,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Sep-03,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Sep-03,-68.57661111,77.96738889,Davis,Fuel usage,1400,,litres,,
